nome,url,preço,local,hora,data
IPhone 7 128GB Rose novo garantia Apple loja física,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-7-128gb-rose-novo-garantia-apple-loja-fisica-658309888?xtmc=celular&xtnp=2&xtcr=39,R$ 1.700,"Rio de Janeiro, Todos os Santos",23:16,Ontem
IPhone 8,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-8-658309315?xtmc=celular&xtnp=2&xtcr=40,R$ 2.100,"Rio de Janeiro, Vila Kosmos",23:12,Ontem
Asus Zenfone 4 Selfie 64GB V/T,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/asus-zenfone-4-selfie-64gb-v-t-658308755?xtmc=celular&xtnp=2&xtcr=41,R$ 749,"Rio de Janeiro, Irajá",23:09,Ontem
J5 com display queimado,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j5-com-display-queimado-658306957?xtmc=celular&xtnp=2&xtcr=42,R$ 100,"Rio de Janeiro, Pavuna",22:56,Ontem
J7 prime j5 prime,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j7-prime-j5-prime-658303438?xtmc=celular&xtnp=2&xtcr=43,R$ 200,Rio de Janeiro,22:33,Ontem
IPhone 6 Plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-6-plus-658297802?xtmc=celular&xtnp=2&xtcr=44,R$ 850,"Rio de Janeiro, Piedade",21:59,Ontem
Moto x play 32Gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-x-play-32gb-658297343?xtmc=celular&xtnp=2&xtcr=45,R$ 250,"Rio de Janeiro, Vicente de Carvalho",21:57,Ontem
Moto G 2° Geração (usado),https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g-2-geracao-usado-658297045?xtmc=celular&xtnp=2&xtcr=46,R$ 150,"Rio de Janeiro, Tomás Coelho",21:55,Ontem
Moto g6 play novissimo 350$,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g6-play-novissimo-350-658296533?xtmc=celular&xtnp=2&xtcr=47,R$ 350,"Rio de Janeiro, Irajá",21:53,Ontem
Iphone 6s,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-6s-658295492?xtmc=celular&xtnp=2&xtcr=48,R$ 750,"Rio de Janeiro, Vista Alegre",21:48,Ontem
AirPod I12 TWS 5.0,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/airpod-i12-tws-5-0-658295320?xtmc=celular&xtnp=2&xtcr=49,R$ 127,"Rio de Janeiro, Tijuca",21:48,Ontem
J7 prime 2,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j7-prime-2-658294532?xtmc=celular&xtnp=2&xtcr=50,R$ 599,"Rio de Janeiro, Cavalcanti",21:44,Ontem
IPhone 6 64gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-6-64gb-658363080?xtmc=celular&xtnp=3&xtcr=1,R$ 800,"Rio de Janeiro, Tauá",13:53,Hoje
Xs max prata 64gb zero + Nota fiscal,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/xs-max-prata-64gb-zero-nota-fiscal-658362784?xtmc=celular&xtnp=3&xtcr=2,,"Rio de Janeiro, Abolição",13:53,Hoje
Capa Protetora Carregadora Lumia 720 Original + Película,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/capa-protetora-carregadora-lumia-720-original-pelicula-658357694?xtmc=celular&xtnp=3&xtcr=3,R$ 30,"Rio de Janeiro, Olaria",13:51,Hoje
LG K10 Celular De 32GB Bom Estado (Valor Final),https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/lg-k10-celular-de-32gb-bom-estado-valor-final-658356538?xtmc=celular&xtnp=3&xtcr=4,R$ 280,"Rio de Janeiro, Madureira",13:50,Hoje
J7 pró funcionando perfeitamente.leia o anúncio,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j7-pro-funcionando-perfeitamente-leia-o-anuncio-658356034?xtmc=celular&xtnp=3&xtcr=5,R$ 420,"Rio de Janeiro, Braz de Pina",13:50,Hoje
Xiaomi Mi9T 6gb de RAM 64gb completo na caixa estado de zero,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/xiaomi-mi9t-6gb-de-ram-64gb-completo-na-caixa-estado-de-zero-658352737?xtmc=celular&xtnp=3&xtcr=6,R$ 1.650,"Rio de Janeiro, Cachambi",13:48,Hoje
Celulares,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/celulares-658352111?xtmc=celular&xtnp=3&xtcr=7,R$ 100,"Rio de Janeiro, Penha",13:48,Hoje
Samsung S9 Plus 128gb muito novo na caixa com nota fiscal,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/samsung-s9-plus-128gb-muito-novo-na-caixa-com-nota-fiscal-658352132?xtmc=celular&xtnp=3&xtcr=8,R$ 1.600,"Rio de Janeiro, Cachambi",13:48,Hoje
Celulares,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/celulares-658351506?xtmc=celular&xtnp=3&xtcr=9,R$ 100,"Rio de Janeiro, Penha",13:48,Hoje
Celular,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/celular-658351349?xtmc=celular&xtnp=3&xtcr=10,R$ 300,"Rio de Janeiro, Penha",13:48,Hoje
Celular,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/celular-658350101?xtmc=celular&xtnp=3&xtcr=11,R$ 260,"Rio de Janeiro, Penha Circular",13:47,Hoje
IPhone 5s Prata,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-5s-prata-658350385?xtmc=celular&xtnp=3&xtcr=12,R$ 1.000,"Rio de Janeiro, Rocha Miranda",13:45,Hoje
